student_id,year,semester,institution,course_number,credits,grade,course_description,department,course_title,record_source
4227987,2019,SPRING,utexas,GEO303,3,B+,"Mineral and rock composition of the earth; measurement of geologic time;origin and evolution of life; earth's interior; plate tectonics; depositional environments and processes; ancient climates; humans, earthresources, and the environment.",GEO,GEO303,raw_cleaned
4227987,2019,SPRING,utexas,M408D,4,C,"Calculus sequence covering series, vectors, partial derivatives, and multiple integrals.",M,Calculus II,raw_cleaned
4227987,2019,SPRING,utexas,M408D,4,A,"Calculus sequence covering series, vectors, partial derivatives, and multiple integrals.",M,Calculus II,raw_cleaned
4227987,2019,SPRING,utexas,ME302,3,A,"Orientation to mechanical engineering problem solving, design process, and professional tools.",ME,Introduction to Engineering Design and Graphics,raw_cleaned
4227987,2019,SPRING,utexas,UGS302,3,A,"Restricted to first-year students. Seminar class focusing on a contemporary issue. Designed to introduce undergraduates to scholarly analysis from an interdisciplinary perspective. Includes an introduction to University resources, such as research facilities, museums, and attendance at University lectures or performances as assigned. Multiple sections may be offered in the fall and spring with various topics and instructors.",UGS,UGS302,raw_cleaned
4227987,2019,SPRING,utexas,UGS303,3,A,"Seminar-style course emphasizing critical thinking, writing, and interdisciplinary exploration.",UGS,First-Year Signature Course,raw_cleaned
4227987,2019,SUMMER,utexas,PHY103M,3,B,"Two laboratory hours a week for one semester. Only one of the following may be counted: Physics 101L, 102M, 103M, 105M, 117M. Prerequisite: Credit with a grade of at least C- or registration for Physics 303K.",PHY,PHY103M,raw_cleaned
4227987,2019,SUMMER,utexas,PHY303K,3,B,"A general survey of physics; primarily laws of motion, heat, and wave phenomena.",PHY,PHY303K,raw_cleaned
4227987,2020,FALL,utexas,HIS315K,3,B+,Survey of United States history from the colonial period through the Civil War.,HIS,HIS315K,raw_cleaned
4227987,2020,FALL,utexas,ME314D,3,CR,Kinematics and kinetics of particles and rigid bodies with engineering applications.,ME,Dynamics,raw_cleaned
4227987,2020,FALL,utexas,ME330,3,CR,"Fluid properties, conservation laws, internal and external flow, and engineering fluid systems.",ME,Fluid Mechanics,raw_cleaned
4227987,2020,SPRING,utexas,EM319,3,CR,"Stress, strain, deformation, torsion, and failure concepts for engineering materials and structures.",EM,Mechanics of Solids,raw_cleaned
4227987,2020,SPRING,utexas,GOV310L,3,B,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions.",GOV,GOV310L,raw_cleaned
4227987,2020,SPRING,utexas,M427J,4,CR,"Differential equations, matrices, eigenvalues, and engineering applications.",M,Differential Equations with Linear Algebra,raw_cleaned
4227987,2020,SPRING,utexas,M427L,4,B+,Multivariable methods and mathematical tools used in applied engineering analysis.,M,Advanced Calculus for Applications,raw_cleaned
4227987,2020,SPRING,utexas,PED105R,1,A,Karate/Taekwondo. Includes self-defense.,PED,PED105R,raw_cleaned
4227987,2020,SUMMER,utexas,MEN134L,1,A-,Hands-on experiments in materials science and engineering topics and microstructure-property relationships discussed in Mechanical Engineering 334.,MEN,MEN134L,raw_cleaned
4227987,2020,SUMMER,utexas,MEN334,3,B+,"Fundamental aspects of the structure, properties, and behavior of engineering materials. Three lecture hours a week for one semester. Prerequisite:_hemistry 301_ith a grade of at least C- and credit or registration for_echanical Engineering 134L,_hysics 303L_r?16,?03N_r?16L, and_ngineering Mechanics 319.",MEN,MEN334,raw_cleaned
4227987,2020,SUMMER,utexas,PHY103N,1,B,"Two laboratory hours and one discussion hour a week for one semester. Only one of the following may be counted:_hysics 102N,?03N,?05N,?16L,?17N. Prerequisite: Credit with a grade of at least C- or registration for_hysics 303L.",PHY,PHY103N,raw_cleaned
4227987,2020,SUMMER,utexas,PHY303L,3,B,"Electricity and magnetism, optics, and atomic phenomena.",PHY,PHY303L,raw_cleaned
4228786,2018,FALL,utexas,ARH301,3,A,A broad survey of selected traditions of art with an emphasis upon understanding their visual elements and cultural significance.,ARH,ARH301,raw_cleaned
4228786,2018,FALL,utexas,CH301,3,A,"First semester general chemistry for science and engineering students, covering atomic structure, bonding, stoichiometry, and thermochemistry.",CH,General Chemistry I,raw_cleaned
4228786,2018,FALL,utexas,M408D,4,B,"Calculus sequence covering series, vectors, partial derivatives, and multiple integrals.",M,Calculus II,raw_cleaned
4228786,2018,FALL,utexas,ME302,3,A,"Orientation to mechanical engineering problem solving, design process, and professional tools.",ME,Introduction to Engineering Design and Graphics,raw_cleaned
4228786,2019,FALL,utexas,ME333T,3,A,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering.",ME,ME333T,raw_cleaned
