student_id,year,semester,institution,course_number,credits,grade,course_description
4196620,2021,FALL,utexas,ME344,3,B-,"Lumped physical system models; electrical, fluid, mechanical, and thermal system analysis; linear system transient, steady-state behavior; introduction to feedback control. Three lecture hours a week for one semester. Prerequisite:_athematics 427J_r?27K,_echanical Engineering 205_r?18M, and?24_r?14D_ith a grade of at least C- in each;_echanical Engineering 340_nd?40L_ith a grade of at least C- in each; and credit or registration for_echanical Engineering 144L_r?44L."
4196620,2021,FALL,utexas,PED106C,1,Q,Designed to accommodate 35 or fewer students. Course number may be repeated for credit when the topics vary.
4196620,2021,FALL,utexas,IB320F,3,B-,"Fundamentals of international trade and the international economy; international dimensions of several functional areas of business, including management, marketing, finance, and human resource management;theoretical, institutional, and functional foundations of international business."
4196620,2021,FALL,utexas,MKT320F,3,B+,"Introduction to basic concepts and terminology in marketing: the processof developing marketing strategy, the role of marketing activities within the firm, external influences that affect the development of marketing strategy, and basic analytical tools appropriate to marketing decision making."
4196620,2021,SUMMER,utexas,ME W338,3,A,"Analysis for the design and manufacture of basic mechanical elements, and their role in the design of machines; application of finite element modeling. Three lecture hours a week for one semester. Prerequisite:_ngineering Mechanics 319_nd_echanical Engineering 334_ith a grade of at least C- in each."
4196620,2021,SPRING,utexas,ME335,3,Q,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control. Three lecture hours and one discussion hour a week for one semester. Prerequisite:_athematics 408D_r?08M_ith a grade of at least C-"
4196620,2021,SPRING,utexas,ME338,3,Q,"Analysis for the design and manufacture of basic mechanical elements, and their role in the design of machines; application of finite element modeling. Three lecture hours a week for one semester. Prerequisite:_ngineering Mechanics 319_nd_echanical Engineering 334_ith a grade of at least C- in each."
4196620,2021,SPRING,utexas,ME139L,1,B,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems. One lecture hour and two laboratory hours a week for one semester. Prerequisite: Credit or registration for_echanical Engineering 339."
4196620,2021,SPRING,utexas,ME339,3,B-,"Steady and transient heat conduction; forced and natural convection; radiation; introduction to heat exchangers and applications. Three lecture hours a week for one semester. Prerequisite:_echanical Engineering 218_r?18M,?30, and?30L_ith a grade of at least C- in each; and credit or registration for_echanical Engineering 139L."
4196620,2021,SPRING,utexas,ME140L,1,B+,"Hands-on laboratory using hand-held and bench-top electronic test and prototyping equipment for circuits and mechatronics applications; computer-aided instrumentation and data acquisition; laboratory study in design, prototyping, and testing with electrical and electronics components and electromechanical devices. One lecture hour and two laboratory hours a week for one semester. Prerequisite: Credit or registration for Mechanical Engineering 340."
4196620,2021,SPRING,utexas,ME340,3,CR,"Theory and application of electrical circuits, electronics, and electromechanical devices; concepts in electrical power transmission; instrumentation; feedback; integration of electronics and instrumentation with mechanical engineering systems (mechatronics). Three lecture hours a week for one semester._erospace Engineering 375_nd_echanical Engineering 340_ay not both be counted. Prerequisite:_echanical Engineering 318M,_hysics 303L_r?16, and?03N_r?16L_ith a grade of at least C- in each; and credit or registration for_echanical Engineering 140L."
4196620,2021,SPRING,utexas,PED103L,1,A,"Introduction to popular social partner dances, including swing, waltz, two-step, salsa, tango and more. Emphasis on connecting with a dance partner and the art of leading and following."
4196620,2020,FALL,utexas,ME333T,3,B+,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering. Two lecture hours and two laboratory hours a week for one semester. Only one of the following may be counted:_erospace Engineering 333T,_iomedical Engineering 333T,_ommunication 333T,_ivil Engineering 333T,_hemical Engineering 333T,_lectrical Engineering 333T,_ngineering Studies 333T,_echanical Engineering 333T,_etroleum and Geosystems Engineering 333T. Prerequisite:_hetoric and Writing 306_r_nglish 303C_ith a grade of at least C-."
4196620,2020,FALL,utexas,ME130L,1,B+,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems. One lecture hour and two laboratory hours a week for one semester. Prerequisite: Credit or registration for_echanical Engineering 330."
4196620,2020,FALL,utexas,ME318M,3,B,"An investigation of applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to the solution of mechanical engineering problems. Two lecture hours and one and one-half laboratory hours a week for one semester. Prerequisite:_athematics 427J_r?27K_ith a grade of at least C-."
4227987,2020,FALL,utexas,ME314D,3,CR,"Analysis of motions, forces, momenta, and energies in mechanical systems. Three lecture hours and one discussion hour a week for one semester._echanical Engineering 314D_nd?24_ay not both be counted. Prerequisite:_ngineering Mechanics 306_nd_athematics 408D_r?08M_ith a grade of at least C- in each."
4227987,2020,FALL,utexas,ME330,3,CR,"Fluid properties, statics, conservation laws, inviscid and viscous incompressible flow, flow in confined streams and around objects. Three lecture hours a week for one semester. Prerequisite:_ngineering Mechanics 306,_athematics 427J_r?27K, and_echanical Engineering 316T_r?26_r?26H, with a grade of at least C- in each; and credit or registration for_echanical Engineering 130L."
4227987,2020,FALL,utexas,HIS315K,3,B+,Survey of United States history from the colonial period through the Civil War.
4227987,2020,SUMMER,utexas,MEN134L,1,A-,Hands-on experiments in materials science and engineering topics and microstructure-property relationships discussed in_echanical Engineering 334. One lecture hour and three laboratory hours a week for one semester. Prerequisite: Credit or registration for_echanical Engineering 334_nd_ngineering Mechanics 319.
4227987,2020,SUMMER,utexas,MEN334,3,B+,"Fundamental aspects of the structure, properties, and behavior of engineering materials. Three lecture hours a week for one semester. Prerequisite:_hemistry 301_ith a grade of at least C- and credit or registration for_echanical Engineering 134L,_hysics 303L_r?16,?03N_r?16L, and_ngineering Mechanics 319."
4227987,2020,SUMMER,utexas,PHY303L,3,B,"Engineering Physics II: Electricity and magnetism, optics, and atomic phenomena."
4227987,2020,SUMMER,utexas,PHY103N,1,B,"Laboratory for PHY303L: Engineering Physics II: Electricity and magnetism, optics, and atomic phenomena."
4227987,2020,SPRING,utexas,M427J,4,CR,"Ordinary differential equations, introduction to vector spaces, linear operators and eigenvalues, systems of linear differential equations, introduction to partial differential equations and Fourier series."
4227987,2020,SPRING,utexas,EM319,3,CR,Internal forces and deformations in solids; stress and strain in elasticand plastic solids; application to simple engineering problems
4227987,2020,SPRING,utexas,GOV310L,3,B,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the UnitedStates and Texas Constitutions."
4227987,2020,SPRING,utexas,M427L,4,B+,"Matrices, elements of vector analysis and calculus of functions of several variables, including gradient, divergence, and curl of a vector field, multiple integrals and chain rules, length and area, line and surface integrals, Green's theorems in the plane and space, and, if timepermits, complex analysis."
4227987,2020,SPRING,utexas,PED105R,1,A,Karate/Taekwondo. Includes self-defense.
4227987,2019,FALL,utexas,PED106C,1,A,Aerobic Walking
4227987,2019,FALL,utexas,GOV312L,3,C+,"Analysis of underlying themes concerned with American political institutions and policies, including the United States Constitution."
4227987,2019,FALL,utexas,ME316T,3,C,"Properties, heat and work, first and second laws, thermodynamic processes, introduction to ideal power cycles. Three lecture hours a week for one semester, with additional hours to be arranged. Only one of the following may be counted:_echanical Engineering 326,?26H,?16T. Prerequisite:_hemistry 301,_athematics 408D_r?08M, and_hysics 301_r?03K_ith a grade of at least C- in each."
4227987,2019,FALL,utexas,M427J,4,D-,"Ordinary differential equations, introduction to vector spaces, linear operators and eigenvalues, systems of linear differential equations, introduction to partial differential equations and Fourier series."
4227987,2019,FALL,utexas,EM306,3,C,"Vector algebra, force systems, free-body diagrams; engineering applications of equilibrium, including frames, friction, distributed loads; centroids, moments of inertia."
4227987,2019,SUMMER,utexas,PHY303K,3,B,"A general survey of physics; primarily laws of motion, heat, and wave phenomena"
4227987,2019,SUMMER,utexas,PHY103M,3,B,"Laboratory for PHY303K:A general survey of physics; primarily laws of motion, heat, and wave phenomena"
4227987,2019,SPRING,utexas,UGS302,3,A,"Seminar class focusing on a contemporary issue. Designed to introduce undergraduates to scholarly analysis from an interdisciplinary perspective. Includes an introduction to University resources, such as research facilities, museums, and attendance at University lectures or performances as assigned. Multiple sections may be offered in the fall and spring with various topics and instructors."
4227987,2019,SPRING,utexas,M408D,4,C,"This is the second semester of the accelerated calculus sequence. The theory and applications of sequences and infinite series, including those involving functions of one variable, and an introduction to the theory and applications of differential and integral calculus of functions of several variables; subjects include methods of integration, parametric equations, sequences, infinite series, power series, functions of several variables, partial derivatives, and multiple integrals."
4227987,2019,SPRING,utexas,GEO303,3,B+,"Mineral and rock composition of the earth; measurement of geologic time;origin and evolution of life; earth's interior; plate tectonics; depositional environments and processes; ancient climates; humans, earthresources, and the environment."
4227987,2019,SPRING,utexas,GE107D,1,A,Development of problem-solving skills in the material covered in Mathematics 408D.
4227987,2019,SPRING,utexas,ARH302,3,A-,A study of selected visual works throughout the world from prehistoric time to 1400 CE.
4227987,2018,FALL,utexas,M408C,4,C,"Introduction to the theory and applications of differential and integralcalculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions."
4227987,2018,FALL,utexas,RTF306,3,Q,"Survey of the aesthetic, cultural, economic, political, and technological trends impacting motion pictures around the world from their origins in the late nineteenth century through the present."
4227987,2018,FALL,utexas,ME302,3,A,"Introduction to mechanical engineering education and practice through lectures and laboratory experiences. Graphics and modeling fundamentals for engineering design: freehand sketching, computer modeling of solid geometry, and generation of engineering drawings. Introduction to reverse engineering, computer-aided design, rapid prototyping, and manufacturing. Application of the design process and problem solving through individual and team projects. Two lecture hours and four laboratory hours a week for one semester. Only one of the following may be counted:_echanical Engineering 302,?10,?10H."
4227987,2018,FALL,utexas,CH301,3,C-,"Only one of the following may be counted: Chemistry 301, 301C, 301H, 301N, 304K."
4227987,2018,FALL,utexas,GE107C,1,A,Development of problem-solving skills in the material covered in Mathematics 408C.
4227987,2018,Fall,utexas,M408C,4,A,"Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions"
4227987,2018,Fall,utexas,CH301,3,A,"An introduction to chemistry. Includes gases, atomic theory, bonding, and thermodynamics"
4227987,2018,Fall,utexas,CC303,3,A,"Survey of major Greek and Roman myths and their influence on literature,art, and music"
4227987,2018,Fall,utexas,GOV310L,3,B+,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the UnitedStates and Texas Constitutions"
4227987,2019,Spring,utexas,UGS303,3,A,"Trace the ways in which the bizarre and the unexpected are featured in russian art, music, literature, and film of the last hundred years"
4227987,2019,Spring,utexas,M408D,4,A,"The theory and applications of sequences and infinite series, including those involving functions of one variable, and an introduction to the theory and applications of differential and integral calculus of functions of several variables; subjects include methods of integration, parametric equations, sequences, infinite series, power series, functions of several variables, partial derivatives, and multiple integrals"
4227987,2019,Spring,utexas,ME302,3,A,"Introduction to mechanical engineering education and practice through lectures and laboratory experiences. Graphics and modeling fundamentals for engineering design: freehand sketching, computer modeling of solid geometry, and generation of engineering drawings. Introduction to reverse engineering, computer-aided design, rapid prototyping, and manufacturing. Application of the design process and problem solving through individual and team projects"
